N	OPT_OLD
3000	0.000006
3000	0.000006
3000	0.000006
3000	0.000007
3000	0.000006
3000	0.000007
3000	0.000006
3000	0.000007
3000	0.000006
3000	0.000007
3000	0.000006
3000	0.000007
3000	0.000006
3000	0.000007
3000	0.000007
4500	0.000010
4500	0.000010
4500	0.000010
4500	0.000010
4500	0.000010
3000	0.000006
3000	0.000006
3000	0.000007
3000	0.000006
3000	0.000007
3000	0.000006
3000	0.000007
3000	0.000006
3000	0.000007
3000	0.000006
3000	0.000006
3000	0.000007
3000	0.000006
3000	0.000007
3000	0.000006
4500	0.000010
4500	0.000010
4500	0.000010
4500	0.000010
4500	0.000010
4500	0.000010
4500	0.000010
4500	0.000010
4500	0.000010
4500	0.000010
4500	0.000010
4500	0.000010
4500	0.000010
4500	0.000010
4500	0.000010
7000	0.000015
7000	0.000015
7000	0.000016
7000	0.000015
7000	0.000016
7000	0.000015
7000	0.000016
7000	0.000015
7000	0.000016
7000	0.000015
7000	0.000016
7000	0.000015
7000	0.000016
7000	0.000015
7000	0.000015
9500	0.000021
9500	0.000021
9500	0.000021
9500	0.000021
9500	0.000021
9500	0.000021
9500	0.000021
9500	0.000021
9500	0.000021
9500	0.000021
9500	0.000021
9500	0.000021
9500	0.000021
9500	0.000021
9500	0.000021
12000	0.000027
12000	0.000026
12000	0.000027
12000	0.000026
12000	0.000027
12000	0.000026
12000	0.000027
12000	0.000026
12000	0.000026
12000	0.000027
12000	0.000026
12000	0.000027
12000	0.000026
12000	0.000027
12000	0.000026
17000	0.000037
17000	0.000039
17000	0.000038
17000	0.000037
17000	0.000037
17000	0.000038
17000	0.000037
17000	0.000037
17000	0.000037
17000	0.000037
17000	0.000038
17000	0.000037
17000	0.000038
17000	0.000037
17000	0.000038
25000	0.000056
25000	0.000054
25000	0.000056
25000	0.000054
25000	0.000056
25000	0.000054
25000	0.000056
25000	0.000055
25000	0.000054
25000	0.000056
25000	0.000054
25000	0.000055
25000	0.000055
25000	0.000055
25000	0.000055
34000	0.000076
34000	0.000075
34000	0.000074
34000	0.000074
34000	0.000075
34000	0.000074
34000	0.000074
34000	0.000075
34000	0.000075
34000	0.000075
34000	0.000074
34000	0.000074
34000	0.000078
34000	0.000080
34000	0.000080
40000	0.000095
40000	0.000090
40000	0.000088
40000	0.000088
40000	0.000087
40000	0.000088
40000	0.000088
40000	0.000088
40000	0.000088
40000	0.000087
40000	0.000088
40000	0.000087
40000	0.000088
40000	0.000088
40000	0.000087
56000	0.000126
56000	0.000122
56000	0.000123
56000	0.000122
56000	0.000123
56000	0.000122
56000	0.000123
56000	0.000122
56000	0.000123
56000	0.000123
56000	0.000122
56000	0.000123
56000	0.000122
56000	0.000123
56000	0.000123
78000	0.000171
78000	0.000169
78000	0.000171
78000	0.000171
78000	0.000170
78000	0.000175
78000	0.000171
78000	0.000171
78000	0.000172
78000	0.000170
78000	0.000170
78000	0.000171
78000	0.000170
78000	0.000170
78000	0.000171
95000	0.000207
95000	0.000208
95000	0.000207
95000	0.000214
95000	0.000207
95000	0.000214
95000	0.000207
95000	0.000207
95000	0.000213
95000	0.000213
95000	0.000207
95000	0.000213
95000	0.000208
95000	0.000213
95000	0.000207
110000	0.000248
110000	0.000241
110000	0.000248
110000	0.000241
110000	0.000242
110000	0.000241
110000	0.000247
110000	0.000241
110000	0.000248
110000	0.000240
110000	0.000248
110000	0.000242
110000	0.000247
110000	0.000242
110000	0.000249
160000	0.000365
160000	0.000354
160000	0.000366
160000	0.000355
160000	0.000366
160000	0.000355
160000	0.000365
160000	0.000355
160000	0.000365
160000	0.000355
160000	0.000355
160000	0.000366
160000	0.000355
160000	0.000363
160000	0.000356
250000	0.000558
250000	0.000575
250000	0.000567
250000	0.000558
250000	0.000577
250000	0.000558
250000	0.000606
250000	0.000605
250000	0.000576
250000	0.000561
250000	0.000558
250000	0.000561
250000	0.000560
250000	0.000575
250000	0.000560
320000	0.000734
320000	0.000717
320000	0.000719
320000	0.000718
320000	0.000714
320000	0.000717
320000	0.000720
320000	0.000713
320000	0.000721
320000	0.000716
320000	0.000719
320000	0.000714
320000	0.000720
320000	0.000718
320000	0.000713
390000	0.000871
390000	0.000876
390000	0.000870
390000	0.000877
390000	0.000871
390000	0.000877
390000	0.000871
390000	0.000876
390000	0.000870
390000	0.000876
390000	0.000878
390000	0.000871
390000	0.000877
390000	0.000899
390000	0.000873
570000	0.001310
570000	0.001274
570000	0.001345
570000	0.001280
570000	0.001338
570000	0.001375
570000	0.001276
570000	0.001275
570000	0.001269
570000	0.001277
570000	0.001303
570000	0.001276
570000	0.001300
570000	0.001275
570000	0.001268
820000	0.001833
820000	0.001838
820000	0.001844
820000	0.001830
820000	0.001829
820000	0.001842
820000	0.001874
820000	0.001831
820000	0.001877
820000	0.001874
820000	0.001834
820000	0.001874
820000	0.001832
820000	0.001842
820000	0.001881
1000000	0.002236
1000000	0.002295
1000000	0.002239
1000000	0.002292
1000000	0.002236
1000000	0.002294
1000000	0.002238
1000000	0.002235
1000000	0.002291
1000000	0.002238
1000000	0.002293
1000000	0.002235
1000000	0.002234
1000000	0.002296
1000000	0.002234
1190000	0.002681
1190000	0.002665
1190000	0.002681
1190000	0.002684
1190000	0.002673
1190000	0.002688
1190000	0.002689
1190000	0.002690
1190000	0.002742
1190000	0.002686
1190000	0.002668
1190000	0.002683
1190000	0.002662
1190000	0.002688
1190000	0.002668
1500000	0.003373
1500000	0.003393
1500000	0.003476
1500000	0.003397
1500000	0.003483
1500000	0.003394
1500000	0.003377
1500000	0.003396
1500000	0.003378
1500000	0.003411
1500000	0.003375
1500000	0.003050
1500000	0.003223
1500000	0.003234
1500000	0.003239
1500000	0.003237
1500000	0.003114
1500000	0.003268
1500000	0.003127
1500000	0.003289
1500000	0.003315
1500000	0.003344
1500000	0.003299
1500000	0.003345
1500000	0.003346
1500000	0.003344
1750000	0.003855
1750000	0.003886
1750000	0.003866
1750000	0.003887
1750000	0.003868
1750000	0.003880
1750000	0.003855
1750000	0.003888
1750000	0.003916
1750000	0.003895
1750000	0.003866
1750000	0.003897
1750000	0.003870
1750000	0.003896
1750000	0.003871
1990000	0.004409
1990000	0.004445
1990000	0.004416
1990000	0.004458
1990000	0.004445
1990000	0.004412
1990000	0.004442
1990000	0.004415
1990000	0.004447
1990000	0.004412
1990000	0.004459
1990000	0.004464
1990000	0.004462
1990000	0.004493
1990000	0.004466
2550000	0.005718
2550000	0.005672
2550000	0.005714
2550000	0.005679
2550000	0.005716
2550000	0.005678
2550000	0.005715
2550000	0.005727
2550000	0.005690
2550000	0.005712
2550000	0.005674
2550000	0.005715
2550000	0.005673
2550000	0.005720
2550000	0.005678
3190000	0.007152
3190000	0.007127
3190000	0.007159
3190000	0.007130
3190000	0.007157
3190000	0.007111
3190000	0.007159
3190000	0.007102
3190000	0.007090
3190000	0.007145
3190000	0.007221
3190000	0.007155
3190000	0.007090
3190000	0.007151
3190000	0.007095
4200000	0.009332
4200000	0.009419
4200000	0.009345
4200000	0.009444
4200000	0.009381
4200000	0.009428
4200000	0.009358
4200000	0.009402
4200000	0.009356
4200000	0.009406
4200000	0.009363
4200000	0.009411
4200000	0.009363
4200000	0.009439
4200000	0.009428
5100000	0.011422
5100000	0.011360
5100000	0.011431
5100000	0.011382
5100000	0.011467
5100000	0.011381
5100000	0.011456
5100000	0.011394
5100000	0.011458
5100000	0.011388
5100000	0.011389
5100000	0.011394
5100000	0.011468
5100000	0.011385
5100000	0.011470
5900000	0.013260
5900000	0.013183
5900000	0.013283
5900000	0.013262
5900000	0.013192
5900000	0.013215
5900000	0.013169
5900000	0.013186
5900000	0.013269
5900000	0.013200
5900000	0.013286
5900000	0.013195
5900000	0.013289
5900000	0.013204
5900000	0.013291
7800000	0.017429
7800000	0.017527
7800000	0.017567
7800000	0.017426
7800000	0.017559
7800000	0.017448
7800000	0.017548
7800000	0.017545
7800000	0.017475
7800000	0.017402
7800000	0.017534
7800000	0.017459
7800000	0.017437
7800000	0.017583
9500000	0.021264
9500000	0.021268
9500000	0.021246
9500000	0.021402
9500000	0.021260
9500000	0.021415
9500000	0.021264
9500000	0.021391
9500000	0.021280
9500000	0.021288
9500000	0.021480
9500000	0.021279
9500000	0.021290
9500000	0.021415
9500000	0.021292
11800000	0.026555
11800000	0.026418
11800000	0.026607
11800000	0.026440
11800000	0.026602
11800000	0.026447
11800000	0.026412
11800000	0.026607
11800000	0.026438
11800000	0.026602
11800000	0.026393
11800000	0.026461
11800000	0.026652
11800000	0.026426
11800000	0.026632
15900000	0.035842
15900000	0.035701
15900000	0.035989
15900000	0.035630
15900000	0.035882
15900000	0.035655
15900000	0.035974
15900000	0.035757
15900000	0.035868
15900000	0.035768
15900000	0.035605
15900000	0.035871
15900000	0.035713
15900000	0.035846
15900000	0.035685
23900000	0.053762
23900000	0.053576
23900000	0.053685
23900000	0.054034
23900000	0.053977
23900000	0.053954
23900000	0.053608
23900000	0.054027
23900000	0.053789
23900000	0.053910
23900000	0.053626
23900000	0.053905
23900000	0.053597
23900000	0.054490
23900000	0.054048
53000000	0.119558
53000000	0.119226
53000000	0.120137
53000000	0.119330
53000000	0.119069
53000000	0.120138
53000000	0.118988
53000000	0.119519
53000000	0.119116
53000000	0.119784
53000000	0.119178
53000000	0.119642
53000000	0.118983
53000000	0.120803
53000000	0.119976
95000000	0.214931
95000000	0.214471
95000000	0.215795
95000000	0.213570
95000000	0.214609
95000000	0.214773
95000000	0.213754
95000000	0.213555
95000000	0.216079
95000000	0.213504
95000000	0.214813
95000000	0.213502
95000000	0.215772
95000000	0.213893
95000000	0.215949
199000000	0.453284
199000000	0.448413
199000000	0.448715
199000000	0.452973
199000000	0.451285
199000000	0.451518
199000000	0.448666
199000000	0.448875
199000000	0.453229
199000000	0.449527
199000000	0.452822
199000000	0.448561
199000000	0.454068
199000000	0.451112
199000000	0.449199
383000000	0.866130
383000000	0.864290
383000000	0.862268
383000000	0.871022
383000000	0.866182
383000000	0.861836
383000000	0.869577
383000000	0.865253
383000000	0.866397
383000000	0.861801
383000000	0.862125
383000000	0.866564
383000000	0.862091
383000000	0.861584
383000000	0.870830
959000000	2.161345
959000000	2.158112
959000000	2.169792
959000000	2.160967
959000000	2.174985
959000000	2.166470
959000000	2.161058
959000000	2.182898
959000000	2.162151
959000000	2.174375
959000000	2.160362
959000000	2.173437
959000000	2.162481
959000000	2.171511
959000000	2.172595
